COMMUNITY,TYPE,LATITUDE,LONGITUDE,HA_CODE,HA_ID,HA_NAME,HSDA_CODE,HSDA_ID,HSDA_NAME,LHA_CODE,LHA_ID,LHA_NAME,LHA18_CODE,LHA18_ID,LHA18_NAME
100 MILE HOUSE,DM,51.65,-121.2833,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA25,25,100 Mile House,LHA144,144,100 Mile House
103 MILE LAKE,LAK,51.6833,-121.6833,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA25,25,100 Mile House,LHA144,144,100 Mile House
105 MILE POST,IR,50.7333,-121.3167,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA30,30,South Cariboo,LHA148,148,South Cariboo
108 MILE HOUSE,LOC,51.75,-121.35,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA25,25,100 Mile House,LHA144,144,100 Mile House
108 MILE RANCH,COM,51.75,-121.35,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA25,25,100 Mile House,LHA144,144,100 Mile House
141 MILE HOUSE,COM,52,-121.85,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA27,27,Cariboo-Chilcotin,LHA146,146,Cariboo/Chilcotin
150 MILE HOUSE,COM,52.1167,-121.85,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA27,27,Cariboo-Chilcotin,LHA146,146,Cariboo/Chilcotin
70 MILE HOUSE,RWY,51.3,-121.4,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA25,25,100 Mile House,LHA144,144,100 Mile House
93 MILE,COM,51.5667,-121.3333,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA25,25,100 Mile House,LHA144,144,100 Mile House
ABBOTSFORD,CTY,49.0583,-122.25,HA2,2,Fraser,HSDA21,21,Fraser East,LHA34,34,Abbotsford,LHA213,213,Abbotsford
ABEERDEN,COM,50.65,-120.3667,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA24,24,Kamloops,LHA143,143,Kamloops
ADAMS LAKE,COM,50.9667,-119.6833,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA24,24,Kamloops,LHA143,143,Kamloops
