date_dt,observedCounts,fittedCounts,PointPValues,color,level,PointLogOdds,AlertScore,AlertScorePvalue,LogOddsRatio,Delta,Scale,AlertPeriodStart,AlertPeriodEnd,surveillance_condition,surveillance_reported_hsda_abbr,status,disease_region_id,level_alertscore
5/5/2018,1,8.582074466,0.998581973,black,no alert,2.847699263,-0.207528327,0.582201364,-0.234491298,0.047211702,1.110440957,5/20/2018,5/26/2018,Amebiasis,Province,common,1,No Alert
5/12/2018,11,8.426406136,0.160910023,black,no alert,-0.611043533,-0.207528327,0.582201364,-0.234491298,0.047211702,1.110440957,5/20/2018,5/26/2018,Amebiasis,Province,common,1,No Alert
5/19/2018,10,8.294270891,0.160910023,black,no alert,-0.422616161,-0.207528327,0.582201364,-0.234491298,0.047211702,1.110440957,5/20/2018,5/26/2018,Amebiasis,Province,common,1,No Alert
5/26/2018,7,8.201499787,0.631797569,black,no alert,0.234491298,-0.207528327,0.582201364,-0.234491298,0.047211702,1.110440957,5/20/2018,5/26/2018,Amebiasis,Province,common,1,No Alert
5/5/2018,0,1.258909013,0.85065155,black,no alert,0.755550977,0.377901679,0.352751818,-0.0585855,1.370786538,1.084876536,5/20/2018,5/26/2018,Amebiasis,Fraser North,common,2,No Alert
5/12/2018,2,1.270436292,0.189717572,black,no alert,-0.475712858,0.377901679,0.352751818,-0.0585855,1.370786538,1.084876536,5/20/2018,5/26/2018,Amebiasis,Fraser North,common,2,No Alert
5/19/2018,2,1.276631192,0.189717572,black,no alert,-0.47167821,0.377901679,0.352751818,-0.0585855,1.370786538,1.084876536,5/20/2018,5/26/2018,Amebiasis,Fraser North,common,2,No Alert
5/26/2018,1,1.276997693,0.533673476,black,no alert,0.0585855,0.377901679,0.352751818,-0.0585855,1.370786538,1.084876536,5/20/2018,5/26/2018,Amebiasis,Fraser North,common,2,No Alert
5/5/2018,1,1.527593404,0.60657966,black,no alert,0.188031034,0.511661192,0.304444076,0.569418178,-0.090239778,1.085981601,5/6/2018,5/26/2018,Amebiasis,Fraser South,common,3,No Alert
5/12/2018,2,1.47500356,0.212297179,black,no alert,-0.350401177,0.511661192,0.304444076,0.569418178,-0.090239778,1.085981601,5/6/2018,5/26/2018,Amebiasis,Fraser South,common,3,No Alert
5/19/2018,2,1.432915285,0.212297179,black,no alert,-0.374954757,0.511661192,0.304444076,0.569418178,-0.090239778,1.085981601,5/6/2018,5/26/2018,Amebiasis,Fraser South,common,3,No Alert
5/26/2018,2,1.407445518,0.212297179,black,no alert,-0.390098955,0.511661192,0.304444076,0.569418178,-0.090239778,1.085981601,5/6/2018,5/26/2018,Amebiasis,Fraser South,common,3,No Alert
5/5/2018,0,3.034370683,0.974810618,black,no alert,1.587702732,-0.486200655,0.686587546,-0.303902534,-0.625793866,1.031070283,5/20/2018,5/26/2018,Amebiasis,Vancouver,common,4,No Alert
5/12/2018,5,2.984300315,0.198365493,black,no alert,-0.806534053,-0.486200655,0.686587546,-0.303902534,-0.625793866,1.031070283,5/20/2018,5/26/2018,Amebiasis,Vancouver,common,4,No Alert
5/19/2018,3,2.942714147,0.198365493,black,no alert,-0.086556061,-0.486200655,0.686587546,-0.303902534,-0.625793866,1.031070283,5/20/2018,5/26/2018,Amebiasis,Vancouver,common,4,No Alert
5/26/2018,2,2.912026552,0.668134879,black,no alert,0.303902534,-0.486200655,0.686587546,-0.303902534,-0.625793866,1.031070283,5/20/2018,5/26/2018,Amebiasis,Vancouver,common,4,No Alert
5/5/2018,0,0.788117758,0.480484636,black,no alert,0.544084843,1.148980762,0.125281957,0.890382182,0.962249651,0.944199411,5/20/2018,5/26/2018,Amebiasis,North Shore/Coast Garibaldi,common,5,No Alert
5/12/2018,0,0.784960279,0.480484636,black,no alert,0.542269846,1.148980762,0.125281957,0.890382182,0.962249651,0.944199411,5/20/2018,5/26/2018,Amebiasis,North Shore/Coast Garibaldi,common,5,No Alert
5/19/2018,0,0.785813751,0.480484636,black,no alert,0.542760609,1.148980762,0.125281957,0.890382182,0.962249651,0.944199411,5/20/2018,5/26/2018,Amebiasis,North Shore/Coast Garibaldi,common,5,No Alert
5/26/2018,2,0.7934818,0.427451978,black,no alert,-0.890382182,1.148980762,0.125281957,0.890382182,0.962249651,0.944199411,5/20/2018,5/26/2018,Amebiasis,North Shore/Coast Garibaldi,common,5,No Alert
5/5/2018,32,33.00560381,0.913188587,black,no alert,0.092533683,-0.08431924,0.533598692,0.19040514,-0.837856269,1.106384144,5/20/2018,5/26/2018,Campylobacter Infection,Province,common,6,No Alert
5/12/2018,23,34.07829322,0.913188587,black,no alert,1.515205746,-0.08431924,0.533598692,0.19040514,-0.837856269,1.106384144,5/20/2018,5/26/2018,Campylobacter Infection,Province,common,6,No Alert
5/19/2018,33,35.22780653,0.913188587,black,no alert,0.228025548,-0.08431924,0.533598692,0.19040514,-0.837856269,1.106384144,5/20/2018,5/26/2018,Campylobacter Infection,Province,common,6,No Alert
5/26/2018,38,36.44453963,0.392116554,black,no alert,-0.19040514,-0.08431924,0.533598692,0.19040514,-0.837856269,1.106384144,5/20/2018,5/26/2018,Campylobacter Infection,Province,common,6,No Alert
5/5/2018,0,0.365393891,0.833820115,black,no alert,0.271411044,-0.013415492,0.505351846,0.633734015,-1.943625556,1.027165136,5/20/2018,5/26/2018,Campylobacter Infection,East Kootenay,common,7,No Alert
5/12/2018,0,0.372465652,0.833820115,black,no alert,0.276054712,-0.013415492,0.505351846,0.633734015,-1.943625556,1.027165136,5/20/2018,5/26/2018,Campylobacter Infection,East Kootenay,common,7,No Alert
5/19/2018,0,0.378572576,0.833820115,black,no alert,0.28005103,-0.013415492,0.505351846,0.633734015,-1.943625556,1.027165136,5/20/2018,5/26/2018,Campylobacter Infection,East Kootenay,common,7,No Alert
5/26/2018,1,0.386536925,0.188585659,black,no alert,-0.633734015,-0.013415492,0.505351846,0.633734015,-1.943625556,1.027165136,5/20/2018,5/26/2018,Campylobacter Infection,East Kootenay,common,7,No Alert
5/5/2018,0,0.589065729,0.837051111,black,no alert,0.400729373,0.026313205,0.489503761,0.540727676,-1.538973368,1.089392168,5/13/2018,5/26/2018,Campylobacter Infection,Kootenay Boundary,common,8,No Alert
5/12/2018,0,0.581502749,0.837051111,black,no alert,0.396326736,0.026313205,0.489503761,0.540727676,-1.538973368,1.089392168,5/13/2018,5/26/2018,Campylobacter Infection,Kootenay Boundary,common,8,No Alert
5/19/2018,1,0.581244505,0.223554454,black,no alert,-0.423127131,0.026313205,0.489503761,0.540727676,-1.538973368,1.089392168,5/13/2018,5/26/2018,Campylobacter Infection,Kootenay Boundary,common,8,No Alert
5/26/2018,1,0.592508264,0.223554454,black,no alert,-0.412577033,0.026313205,0.489503761,0.540727676,-1.538973368,1.089392168,5/13/2018,5/26/2018,Campylobacter Infection,Kootenay Boundary,common,8,No Alert
5/5/2018,3,2.5930055,0.330789663,black,no alert,-0.230810167,1.057486521,0.145144802,0.835830105,0.836575684,1.061767211,5/20/2018,5/26/2018,Campylobacter Infection,Okanagan,common,9,No Alert
5/12/2018,1,2.683111188,0.936305263,black,no alert,0.696275048,1.057486521,0.145144802,0.835830105,0.836575684,1.061767211,5/20/2018,5/26/2018,Campylobacter Infection,Okanagan,common,9,No Alert
5/19/2018,1,2.787186101,0.936305263,black,no alert,0.737463776,1.057486521,0.145144802,0.835830105,0.836575684,1.061767211,5/20/2018,5/26/2018,Campylobacter Infection,Okanagan,common,9,No Alert
5/26/2018,5,2.904692634,0.127352825,black,no alert,-0.835830105,1.057486521,0.145144802,0.835830105,0.836575684,1.061767211,5/20/2018,5/26/2018,Campylobacter Infection,Okanagan,common,9,No Alert
5/5/2018,3,2.200914038,0.282605463,black,no alert,-0.404577512,0.721021202,0.235448235,0.536390738,0.670897025,1.171166413,5/20/2018,5/26/2018,Campylobacter Infection,Thompson Cariboo Shuswap,common,10,No Alert
5/12/2018,0,2.379411292,0.897062354,black,no alert,1.23006307,0.721021202,0.235448235,0.536390738,0.670897025,1.171166413,5/20/2018,5/26/2018,Campylobacter Infection,Thompson Cariboo Shuswap,common,10,No Alert
5/19/2018,2,2.557580296,0.897062354,black,no alert,0.139534208,0.721021202,0.235448235,0.536390738,0.670897025,1.171166413,5/20/2018,5/26/2018,Campylobacter Infection,Thompson Cariboo Shuswap,common,10,No Alert
5/26/2018,4,2.724563551,0.225292616,black,no alert,-0.536390738,0.721021202,0.235448235,0.536390738,0.670897025,1.171166413,5/20/2018,5/26/2018,Campylobacter Infection,Thompson Cariboo Shuswap,common,10,No Alert
5/5/2018,2,1.895678336,0.412194155,black,no alert,-0.125277802,-0.135871322,0.554038497,0.448089927,-1.773932627,1.029979147,5/20/2018,5/26/2018,Campylobacter Infection,Fraser East,common,11,No Alert
5/12/2018,0,1.973237217,0.943991452,black,no alert,1.113160955,-0.135871322,0.554038497,0.448089927,-1.773932627,1.029979147,5/20/2018,5/26/2018,Campylobacter Infection,Fraser East,common,11,No Alert
5/19/2018,1,2.051200968,0.943991452,black,no alert,0.444229045,-0.135871322,0.554038497,0.448089927,-1.773932627,1.029979147,5/20/2018,5/26/2018,Campylobacter Infection,Fraser East,common,11,No Alert
5/26/2018,3,2.125747042,0.262742029,black,no alert,-0.448089927,-0.135871322,0.554038497,0.448089927,-1.773932627,1.029979147,5/20/2018,5/26/2018,Campylobacter Infection,Fraser East,common,11,No Alert
5/5/2018,2,4.019259013,0.927338157,black,no alert,0.65840372,-0.395570555,0.653789069,-0.153720829,-0.789741441,1.140847194,5/20/2018,5/26/2018,Campylobacter Infection,Fraser North,common,12,No Alert
5/12/2018,2,4.237984793,0.927338157,black,no alert,0.729734662,-0.395570555,0.653789069,-0.153720829,-0.789741441,1.140847194,5/20/2018,5/26/2018,Campylobacter Infection,Fraser North,common,12,No Alert
